Year,Happiness_Score,Suicide_Deaths,Suicide_Crude_Rate,Suicide_Standardized_Rate,Happiness_Index,Suicide_Index
2015,6.379,3675,15.7,12.1,100,100
2016,6.422,3765,16,12.3,100.67408684746826,101.65289256198349
2017,6.441,3871,16.4,12.5,100.97193917541935,103.30578512396696
2018,6.446,3865,16.4,12.5,101.05032136698541,103.30578512396696
2019,6.45539999008179,3864,16.4,12.6,101.19767973164744,104.13223140495869
2020,6.584,3656,15.5,11.8,103.21366985420912,97.5206611570248
2021,6.512,3585,15.3,11.6,102.08496629565762,95.86776859504133
2022,6.535,3787,16.2,12.3,102.44552437686158,101.65289256198349
2023,6.503,3898,16.7,12.7,101.94387835083869,104.95867768595042
2024,6.669,4062,17.4,13.4,104.54616711083243,110.74380165289257
