Country,Year,Working_Hours
Japan,2014,1729
Japan,2015,1719
Japan,2016,1714
Japan,2017,1709
Japan,2018,1680
Japan,2019,1644
Japan,2020,1597.011
Japan,2021,1607.483
Japan,2022,1606.995
Japan,2023,1610.745
Japan,2024,1617.381
South Korea,2014,2075
South Korea,2015,2082
South Korea,2016,2068
South Korea,2017,2018
South Korea,2018,1992
South Korea,2019,1966
South Korea,2020,1907
South Korea,2021,1910
South Korea,2022,1900
South Korea,2023,1872
South Korea,2024,1865
Taiwan,2014,2134.8
Taiwan,2015,2104.8
Taiwan,2016,2035.2
Taiwan,2017,2034
Taiwan,2018,2032.8
Taiwan,2019,2025.6
Taiwan,2020,2019.6
Taiwan,2021,1999.2
Taiwan,2022,2005.2
Taiwan,2023,2019.6
Taiwan,2024,2030.4
